Question_code;Question;Совсем нет;Чуть-чуть;В какой-то мере;Достаточно значимо;Очень сильно
GP1;Я чувствую слабость;0;1;2;3;4
GP4;Меня беспокоит боль;0;1;2;3;4
GP6;Я чувствую себя больным;0;1;2;3;4
GP7;Мне приходится проводить много времени в постели;0;1;2;3;4
GP5;Меня беспокоят побочные эффекты лечения;0;1;2;3;4
GP3;Из-за моего физического состояния, я не могу помогать своей семье;0;1;2;3;4
CRITICAL;Я имею температуру выше 38 более 3 дней;0;1;2;3;4
CRITICAL;Я стал чаще ощущать головокружение;0;1;2;3;4
CRITICAL;Я испытываю головную боль;0;1;2;3;4
CRITICAL;У меня периодически возникают судороги;0;1;2;3;4
CRITICAL;Меня беспокоит тошнота;0;1;2;3;4
CRITICAL;Я стал более сонлив;0;1;2;3;4
CRITICAL;У меня повышена чувствительность к свету или звукам;0;1;2;3;4
GENERAL;Меня беспокоит бессонница;0;1;2;3;4
GENERAL;Я чувствую онемение кожи на какой-либо части тела;0;1;2;3;4
GENERAL;Я чувствую, что хуже чувствую кожей изменения температуры;0;1;2;3;4
GENERAL;Меня беспокоит боль каких-либо участков кожи;0;1;2;3;4
CRITICAL;Меня беспокоит частое появление синячков;0;1;2;3;4
CRITICAL;Меня беспокоит появление сыпи;0;1;2;3;4
GP8;Меня беспокоит кожный зуд;0;1;2;3;4
GP9;Меня беспокоит шелушение кожи;0;1;2;3;4
GP10;Меня беспокоит уплотнение кожи;0;1;2;3;4
GP11;Меня беспокоит цвет моей кожи;0;1;2;3;4
GP12;Меня беспокоят неприятные ощущения во рту и/или на языке;0;1;2;3;4
GP13;Мне тяжело и/или больно проглатывать пищу;0;1;2;3;4
GP14;Меня беспокоит ощущение «песка в глазах»;0;1;2;3;4
GP15;У меня снизилось зрение;0;1;2;3;4
GENERAL;У меня есть чувство повышенной сухости глаз;0;1;2;3;4
CRITICAL, BMT12;Я стал видеть все размыто;0;1;2;3;4
CRITICAL, GP16;Ощущение песка в глазах нарушает мою повседневную деятельность;0;1;2;3;4
CRITICAL, GP17;Я потерял в весе;0;1;2;3;4
CRITICAL, GP19;Я замечаю желтушность кожи и/или склер;0;1;2;3;4
GP20;У меня ограничена подвижность суставов;0;1;2;3;4
BMT11;Я часто болею простудами и инфекциями;0;1;2;3;4
BMT13;Меня беспокоит изменение во вкусе еды;0;1;2;3;4
BMT14;У меня есть дрожь в руках;0;1;2;3;4
CRITICAL, B1;У меня есть одышка;0;1;2;3;4
CRITICAL;У меня есть проблемы с промыванием венозного катетера;0;1;2;3;4
CRITICAL;У меня есть проблемы на коже вокруг венозного катетера;0;1;2;3;4
CRITICAL;У меня повышенная кровоточивость слизистой носа;0;1;2;3;4
GENERAL;У меня часто имеется гнойное отделяемое из носа;0;1;2;3;4
GENERAL;Я испытываю боль в носу;0;1;2;3;4
GENERAL;Я испытываю боль в ротовой полости;0;1;2;3;4
GENERAL;Я испытываю боль в языке;0;1;2;3;4
GENERAL;Я имею отечность десен;0;1;2;3;4
CRITICAL;Я имею эрозии, изъязвления во рту;0;1;2;3;4
CRITICAL;Я имею повышенную кровоточивость десен;0;1;2;3;4
GENERAL;Я имею дискомфорт в грудной клетке;0;1;2;3;4
CRITICAL;Я испытываю боль в грудной клетке;0;1;2;3;4
CRITICAL;Я испытываю нехватку воздуха;0;1;2;3;4
GENERAL;Меня мучает кашель;0;1;2;3;4
GENERAL;У меня при кашле отделяется мокрота;0;1;2;3;4
GENERAL-F;Меня беспокоит нарушение цикла;0;1;2;3;4
GENERAL-F;Меня беспокоят кровянистые выделение вне менструации;0;1;2;3;4
CRITICAL-F;У меня бывают маточные кровотечения;0;1;2;3;4
